"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	16
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	18
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	19
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	38
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	30
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	22
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	55
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	34
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	49
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	108
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	19
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	70
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	82
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	231
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	29
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	105
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	159
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	344
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	58
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	196
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	159
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	487
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	108
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	320
	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	192
