"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Georgia"	"13"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	24
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	34
	"Georgia"	"13"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	27
	"Georgia"	"13"	"1999"	"1999"	"5-9 years"	"5-9"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	27
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	20
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	21
	"Georgia"	"13"	"1999"	"1999"	"10-14 years"	"10-14"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	30
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	40
	"Georgia"	"13"	"1999"	"1999"	"15-19 years"	"15-19"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	21
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	60
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	19
	"Georgia"	"13"	"1999"	"1999"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	45
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	33
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	116
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	33
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	80
	"Georgia"	"13"	"1999"	"1999"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	98
	"Georgia"	"13"	"1999"	"1999"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	198
	"Georgia"	"13"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	45
	"Georgia"	"13"	"1999"	"1999"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	139
	"Georgia"	"13"	"1999"	"1999"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	150
	"Georgia"	"13"	"1999"	"1999"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	381
	"Georgia"	"13"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	73
	"Georgia"	"13"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	192
	"Georgia"	"13"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	254
	"Georgia"	"13"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	619
	"Georgia"	"13"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	145
	"Georgia"	"13"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	331
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	20
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	358
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	882
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	251
	"Georgia"	"13"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	500
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	20
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	340
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	1159
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	351
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	884
	"Georgia"	"13"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	22
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	306
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	1226
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	23
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	483
	"Georgia"	"13"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	1328
	"Georgia"	"13"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	328
	"Georgia"	"13"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	1235
	"Georgia"	"13"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0
	"Georgia"	"13"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	516
